funktion,bezeichnung,pavement,vegetation,water
5310,Parkplatz,1,,
5320,Rastplatz,1,,
5330,Raststaette Autohof,1,,
5340,Marktplatz,4,,
5350,Festplatz,4,,
5360,Busbahnhof,1,,
