funktion,bezeichnung,pavement,vegetation,water
1100,Oeffentliche Zwecke,3,,
1110,Regierung und Verwaltung,3,,
1120,Bildung und Wissenschaft,3,,
1130,Kultur,3,,
1140,Religioese Einrichtungen,3,,
1150,Gesundheit,3,,
1160,Soziales,3,,
1170,Sicherheit und Ordnung,3,,
1180,Medien und Kommunikation,3,,
1300,Historische Anlage,3,,
1310,Burg Festungsanlage,,,
1320,Schlossanlage,,,
1200,Parken,1,,
